bill_id,state,identifier,title,score_numeric,advanced,derived_status,first_action_date,latest_passage_date,latest_action_date
ocd-bill/769c4f9f-d7f1-4d25-a2dc-4202e0250d7b,Virginia,SB 1522,Cloud Computing Cluster Infrastructure Grant Fund; created.,8.0,1,enacted,2023-01-20 00:00:00+00:00,2023-03-08 00:00:00+00:00,2023-03-26 00:00:00+00:00
ocd-bill/25725b34-209e-4eb8-b8f6-f8003226e84a,Virginia,HB 109,"Electric utilities; regional transmission entities, annual report.",5.0,1,passed_chamber_or_legislature,2024-01-01 00:00:00+00:00,2024-02-12 00:00:00+00:00,2024-03-04 00:00:00+00:00
ocd-bill/f723ae65-c2de-4b4e-84ef-ac6795efd37f,Virginia,HB 116,Retail Sales and Use tax; exemption for data centers.,7.0,0,active_in_committee_or_chamber,2024-01-01 00:00:00+00:00,,2024-02-07 00:00:00+00:00
ocd-bill/cb1b350e-c19e-4e56-8301-085c3ad015fc,Virginia,HB 116,Retail Sales and Use tax; exemption for data centers.,7.0,0,active_in_committee_or_chamber,2024-01-01 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/80549db4-fd34-460b-993e-cb86a92c0005,Virginia,HB 337,Siting of data centers; impacts on resources and historically significant sites.,3.0,1,active_in_committee_or_chamber,2024-01-05 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/b0125c20-a8cf-4188-a607-5d0f18d3bcca,Virginia,HB 338,Siting of data centers; locality may perform site assessment before approval.,4.0,1,passed_chamber_or_legislature,2024-01-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,2024-02-28 00:00:00+00:00
ocd-bill/f45fb574-3c84-4dd3-9c90-dc372d1d00b4,Virginia,HB 338,Siting of data centers; locality may perform site assessment before approval.,4.0,1,passed_chamber_or_legislature,2024-01-05 00:00:00+00:00,2024-02-13 00:00:00+00:00,2024-11-19 00:00:00+00:00
ocd-bill/9e8a9f13-a86d-4fb3-b8f5-2e4b5c138ee7,Virginia,HB 340,Electric utilities; underground transmission lines.,7.0,1,active_in_committee_or_chamber,2024-01-05 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/7666aef1-5c62-4e32-88cf-f921a4c17a9a,Virginia,HB 402,"Electric utilities; retail competition for purchase and sale of electric energy, etc.",7.0,1,active_in_committee_or_chamber,2024-01-08 00:00:00+00:00,,2024-01-25 00:00:00+00:00
ocd-bill/758faf0c-d14c-43f6-a258-197015af27f3,Virginia,SB 191,"Electric utilities; data center demand, allocation of costs among customer classes.",4.0,1,active_in_committee_or_chamber,2024-01-08 00:00:00+00:00,,2024-02-05 00:00:00+00:00
ocd-bill/8fe668c3-bd20-4c7f-aec1-1330b41caea6,Virginia,SB 191,"Electric utilities; data center demand, allocation of costs among customer classes.",4.0,1,active_in_committee_or_chamber,2024-01-08 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/97d7333d-11e2-4174-a4d5-5837fa61ba53,Virginia,SB 192,Retail Sales and Use Tax; certain exemption for data centers.,6.0,1,active_in_committee_or_chamber,2024-01-08 00:00:00+00:00,,2024-11-19 00:00:00+00:00
ocd-bill/d4c8b543-599e-4b51-8460-5aefccdf97aa,Virginia,HB 875,Tangible personal property; automobile assessment.,5.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/19381769-c46e-49cb-84f6-4e371c11bf80,Virginia,HB 910,Data centers; energy usage.,5.0,0,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-01 00:00:00+00:00
ocd-bill/b1f44ef5-d9e7-493a-8d8f-d7d6d32dcd36,Virginia,HB 910,Data centers; energy usage.,5.0,0,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/ea51f8ca-1131-4566-afce-885b4274a7cc,Virginia,HB 973,"Tangible personal property tax; classification, satellite equipment.",6.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/744529e4-b9dd-4423-8ecc-55e58b15ebd0,Virginia,HB 975,Electric utilities; notice required for customer return to service.,6.0,0,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-08 00:00:00+00:00
ocd-bill/c35951d0-a0a2-4cc2-a031-b78d1f6599fe,Virginia,HB 991,Gambling data; use of Cloud Technology.,7.0,1,enacted,2024-01-09 00:00:00+00:00,2024-03-07 00:00:00+00:00,2024-04-02 00:00:00+00:00
ocd-bill/e34441c9-8a27-48ca-b1cc-13f1e09135df,Virginia,SB 284,Siting of data centers; impacts on resources and historically significant sites.,3.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-07 00:00:00+00:00
ocd-bill/226bb19f-a641-4625-80ec-54367292a6b1,Virginia,SB 284,Siting of data centers; impacts on resources and historically significant sites.,3.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-11-19 00:00:00+00:00
ocd-bill/e90ec701-9228-4844-ab26-1587a3ce13ae,Virginia,SB 285,Siting of data centers; site assessment.,4.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-11-19 00:00:00+00:00
ocd-bill/e97c03d8-2b30-435c-89fd-a34e68599c89,Virginia,SB 285,Siting of data centers; site assessment.,4.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-02-07 00:00:00+00:00
ocd-bill/227c02a8-d1ce-4f3d-9a0c-0175cfe1c659,Virginia,SB 288,Data centers; noise abatement.,4.0,0,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-01-29 00:00:00+00:00
ocd-bill/1074c61d-5b28-49a7-8a6e-c4a5e308ea06,Virginia,SB 289,Stormwater management regulations; enterprise data center operations.,4.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-01-31 00:00:00+00:00
ocd-bill/42e09ce5-a346-4328-8634-d341fe10141c,Virginia,SB 289,Stormwater management regulations; enterprise data center operations.,4.0,1,active_in_committee_or_chamber,2024-01-09 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/1bd123c8-254b-4cb2-b89c-8b7765adfe82,Virginia,HB 1010,"Data centers; sitings near parks, schools, and residential areas.",4.0,1,active_in_committee_or_chamber,2024-01-10 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/8a7b5435-c531-43a2-89b2-a0a4e5a4547a,Virginia,HB 1288,Public utilities; classification of customers.,6.0,0,active_in_committee_or_chamber,2024-01-10 00:00:00+00:00,,2024-02-01 00:00:00+00:00
ocd-bill/5aa81e96-f374-4da6-bf9f-2f074574fb54,Virginia,HJ 64,Localities hosting data center infrastructure; DHCD to study revenue sharing program.,5.0,0,active_in_committee_or_chamber,2024-01-10 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/e82ef046-eae7-4ba7-82fb-9ae19bf5d90e,Virginia,HJ 64,Localities hosting data center infrastructure; DHCD to study revenue sharing program.,5.0,0,active_in_committee_or_chamber,2024-01-10 00:00:00+00:00,,2024-02-01 00:00:00+00:00
ocd-bill/e7abcda7-59e6-4380-b9ce-1c9de51f47d3,Virginia,SB 664,Electric utilities; electric distribution infrastructure serving data centers.,5.0,1,active_in_committee_or_chamber,2024-01-16 00:00:00+00:00,,2024-02-09 00:00:00+00:00
ocd-bill/19d112a2-766f-4735-9ff9-8306debd3b26,Virginia,SB 664,Electric utilities; electric distribution infrastructure serving data centers.,5.0,1,active_in_committee_or_chamber,2024-01-16 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/3a2acf40-fb8b-4acb-b8b1-579292ebd4e4,Virginia,SB 667,Cloud Computing Cluster Infrastructure Grant Fund; performance agreement.,8.0,0,active_in_committee_or_chamber,2024-01-16 00:00:00+00:00,,2024-01-31 00:00:00+00:00
ocd-bill/f56be0e8-8def-4936-a56b-ff1d54f3ddbf,Virginia,HB 1400,"Retail Sales and Use Tax; commercial and industrial exemptions, extends sunset date.",8.0,1,active_in_committee_or_chamber,2024-01-17 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/8055ea10-378e-4240-9092-270640b401b3,Virginia,HB 1411,Motor vehicle sales and use tax; definition of sale price.,6.0,1,active_in_committee_or_chamber,2024-01-17 00:00:00+00:00,,2024-02-13 00:00:00+00:00
ocd-bill/60140949-4e78-4a4a-bd74-f33734f3ff11,Virginia,SB 688,"Offshore wind capacity; development, prohibited cost recovery.",7.0,1,active_in_committee_or_chamber,2024-01-18 00:00:00+00:00,,2024-02-05 00:00:00+00:00
ocd-bill/0c263fbe-72ba-4967-bc4f-90fa84fc1187,Virginia,HB 1546,Data centers; sales and use tax exemption for certain equipment or enabling software.,8.0,0,active_in_committee_or_chamber,2024-01-19 00:00:00+00:00,,2024-02-07 00:00:00+00:00
ocd-bill/ba58d44c-953d-484a-8ee2-ebf56ff2ba47,Virginia,HB 1546,Data centers; sales and use tax exemption for certain equipment or enabling software.,8.0,0,active_in_committee_or_chamber,2024-01-19 00:00:00+00:00,,2024-11-18 00:00:00+00:00
ocd-bill/e36c0727-e4ba-44be-81e1-ea87f3cbbe79,Virginia,HB 1601,Data centers; site assessment for high energy use facility.,4.0,1,vetoed,2025-01-03 00:00:00+00:00,2025-03-10 00:00:00+00:00,2025-05-02 00:00:00+00:00
ocd-bill/eed11ea6-6eb9-4bc0-9baa-764f95816e8d,Virginia,SB 899,High electric demand facility; locality may include in its zoning ordinance water use estimate.,4.0,1,failed,2025-01-05 00:00:00+00:00,,2025-01-30 00:00:00+00:00
ocd-bill/99ef626e-f9bc-4cc7-83b3-516b0a281fee,Virginia,SB 960,Electric utilities; data center cost allocation.,4.0,1,passed_chamber_or_legislature,2025-01-06 00:00:00+00:00,2025-02-18 00:00:00+00:00,2025-02-22 00:00:00+00:00
ocd-bill/6a14f0bf-495d-4582-85a9-01a0593203be,Virginia,HB 1984,"Data centers; sitings near parks, schools, and residential areas.",3.0,1,active_in_committee_or_chamber,2025-01-07 00:00:00+00:00,,2025-02-04 00:00:00+00:00
